"","sciname","Genus","Species","SpeciesRefNo","Author","FBname","PicPreferredName","PicPreferredNameM","PicPreferredNameF","PicPreferredNameJ","FamCode","Subfamily","GenCode","SubGenCode","BodyShapeI","Source","AuthorRef","Remark","TaxIssue","Fresh","Brack","Saltwater","DemersPelag","AnaCat","MigratRef","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","LongevityWild","LongevityWildRef","LongevityCaptive","LongevityCapRef","Vulnerability","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","Pic","PictureFemale","LarvaPic","EggPic","ImportanceRef","Importance","PriceCateg","PriceReliability","Remarks7","LandingStatistics","Landings","MainCatchingMethod","II","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","LifeCycle","AquacultureRef","UsedasBait","BaitRef","Aquarium","AquariumFishII","AquariumRef","GameFish","GameRef","Dangerous","DangerousRef","Electrogenic","ElectroRef","Complete","GoogleImage","Comments","Profile","PD50","Emblematic","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS","SpecCode"
"48","Pangasianodon gigas","Pangasianodon","gigas",7432,"Chevey, 1931","Mekong giant catfish","Pagig_u3.jpg",NA,NA,NA,134,NA,8046,NA,"elongated","R",NA,NA,0,-1,0,0,"benthopelagic","potamodromous",51243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.76,300,"TL",235,"SL",30857,NA,NA,NA,NA,NA,350000,NA,43281,"PAGIG_U0",NA,NA,NA,4537,"commercial","unknown",NA,"Traditional fisheries.","",NA,"","",-1,-1,0,0,0,0,0,0,0,0,"experimental","",7432,"never/rarely",NA,"never/rarely","",4537,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"A migratory species (Ref. 37772) which occurs in medium to large-sized rivers (Ref. 12975).  Feeds on detritus and algae on the bottom (Ref. 58784); feeds only on vegetation in the river but takes other food in captivity; little is known on its general pattern of life and migratory journeys for spawning (Ref. 2686).  Shows one of the fastest growth rates of any fish in the world, reaching 150 to 200 kg in 6 years (Ref. 12693).  Cited in the Guinness Book of Records as largest freshwater fish (Ref. 6472).  Marketed fresh (Ref. 12693).  Maximum length of 300 cm needs confirmation.  Threatened due to over harvesting and habitat loss (Ref. 58490).",NA,0.75,0,22,"1992-08-03T00:00:00.000Z",10,"2014-10-03T10:15:35.000Z",21,"1994-09-05T00:00:00.000Z",NA,6192
"49","Hippocampus capensis","Hippocampus","capensis",30915,"Boulenger, 1900","Knysna seahorse","Hicap_f0.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,-1,-1,"demersal","non-migratory",NA,0,20,30915,NA,NA,NA,NA,NA,3,30915,15.61,12.1,"OT",NA,NA,31848,7,"TL",NA,NA,4281,NA,NA,NA,"HICAP_M0","HICAP_F0",NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Found in bays and estuaries among submerged vegetation; diurnal (Ref. 4281, 30915).  Can tolerate salinities from 1-59 ppt (Ref. 30915).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).  Length type refers to Height (= from top of coronet to the tip of straightened tail).",NA,0.5,0,22,"1992-08-05T00:00:00.000Z",2,"2011-07-08T00:00:00.000Z",21,"1994-08-05T00:00:00.000Z",NA,6303
"50","Totoaba macdonaldi","Totoaba","macdonaldi",9118,"(Gilbert, 1890)","Totoaba","Tomac_u0.jpg",NA,NA,NA,331,NA,8867,NA,"fusiform / normal","R",NA,NA,0,0,-1,-1,"benthopelagic",NA,NA,10,NA,NA,NA,NA,NA,15,796,NA,NA,81.61,200,"TL",NA,NA,9118,NA,NA,NA,NA,NA,1e+05,NA,32717,"TOMAC_U0",NA,NA,NA,NA,"commercial","medium","Very questionable: based on ex-vessel price for species in this family",NA,"",NA,"hooks and lines","",0,0,0,0,0,0,0,0,0,0,"never/rarely","",NA,"never/rarely",NA,"never/rarely","",NA,-1,4537,"harmless",NA,"no special ability",NA,NA,-1,"Found in coastal waters; juveniles in river mouths and near rocky coasts (Ref. 9118).  Feed on fishes and shrimps (Ref. 9118).",NA,1,0,22,"1992-08-06T00:00:00.000Z",65,"2014-09-25T00:00:00.000Z",113,"1995-07-19T00:00:00.000Z",NA,6317
"51","Scleropages formosus","Scleropages","formosus",7050,"(Müller & Schlegel, 1844)","Asian bonytongue","Scfor_u3.jpg",NA,NA,NA,38,NA,6628,NA,"elongated","O",NA,NA,0,-1,0,0,"benthopelagic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.26,90,"TL",NA,NA,6398,NA,NA,NA,NA,NA,NA,NA,NA,"SCFOR_U1",NA,NA,NA,7050,"commercial","unknown",NA,NA,NA,NA,NA,NA,-1,0,-1,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"highly commercial","based mainly on capture",4537,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Occurs in tannin stained blackwater streams (Ref. 12693).  Found in forest covered streams including peat adjacent areas.  Take around three months for free swimming fries (Ref. 57235).  Young individuals feed on insects at the water surface, adults take fishes (Ref. 12693, 57235) and smaller vertebrates (Ref. 56749).  A mouth brooder, young about 6 cm at birth (Ref. 7050, 57235).  Valued as an aquarium fish, its flesh commands a moderate price.",NA,0.5781,0,22,"1992-08-06T00:00:00.000Z",65,"2014-02-27T00:00:00.000Z",97,"2001-07-02T00:00:00.000Z",NA,6357
"52","Pristis zijsron","Pristis","zijsron",9859,"Bleeker, 1851","Longcomb sawfish","Przij_u0.jpg",NA,NA,NA,16,NA,6924,NA,"elongated","O",NA,NA,0,-1,-1,-1,"demersal",NA,NA,0,5,9859,NA,NA,NA,NA,NA,NA,NA,86.02,730,"TL",NA,NA,5578,550,"TL",NA,NA,11228,NA,NA,NA,"PRZIJ_U0",NA,NA,NA,4537,"commercial","medium","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,"various gears",NA,0,-1,0,0,0,-1,0,0,-1,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,-1,11228,"traumatogenic",9859,"no special ability",NA,NA,-1,"Inshore and intertidal species known to enter freshwater in some areas (Ref. 9859).  Found in shallow bays, estuaries, and lagoons (Ref. 11228).  Often on the bottom with its saw elevated at an angle to the body axis (Ref. 9859).  Feeds on fishes and shellfishes (Ref. 58784).  Ovoviviparous (Ref. 50449).  Flesh considered tasty (Ref. 11228).",NA,0.5312,0,34,"1993-04-21T00:00:00.000Z",10,"2011-11-03T00:00:00.000Z",134,"1995-10-05T00:00:00.000Z",NA,7956
"53","Hippocampus camelopardalis","Hippocampus","camelopardalis",30915,"Bianconi, 1854","Giraffe seahorse","Hicam_m0.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"demersal","non-migratory",NA,NA,45,52034,NA,NA,NA,NA,NA,NA,NA,10,10,"TL",NA,NA,4281,NA,NA,NA,NA,NA,NA,NA,NA,"HICAM_M0","HICAM_F0",NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,NA,NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Found in seagrass and algal beds (Ref. 52034). Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,34,"1993-04-29T00:00:00.000Z",2,"2005-02-16T00:00:00.000Z",1,"1999-08-17T00:00:00.000Z",NA,7983
"54","Anoxypristis cuspidata","Anoxypristis","cuspidata",8630,"(Latham, 1794)","Pointed sawfish","Ancus_u0.jpg",NA,NA,NA,16,NA,7964,NA,"elongated","O",NA,NA,0,-1,-1,-1,"benthopelagic","amphidromous",51243,0,40,9859,NA,40,55270,NA,NA,NA,NA,77.96,470,"TL",NA,NA,9859,NA,NA,NA,NA,NA,NA,NA,NA,"ANCUS_U0",NA,NA,NA,4537,"commercial","medium","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,"various gears",NA,0,-1,0,0,0,-1,0,0,-1,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,-1,4537,"harmless",9859,"no special ability",NA,NA,-1,"Found inshore, often in river deltas and estuaries; penetration well up rivers needs confirmation (Ref. 9859).  Common in sheltered bays with sandy bottoms.  Feeds on small fish and cuttlefish (Ref. 9859).  Ovoviviparous (Ref. 50449).  Generally harmless but its saw-like snout may cause serious injury when caught:  it is known thrash violently and vigorously (Ref. 9859).  Caught for its flesh and liver (which is rich in oil) in some parts of Asia (Ref. 6871).  Maximum lengths of up to 610 cm TL are based on unconfirmed reports (Ref. 9859).",NA,1.0156,0,34,"1993-08-13T00:00:00.000Z",393,"2010-03-31T00:00:00.000Z",134,"1995-10-12T00:00:00.000Z",NA,8211
"55","Acipenser dabryanus","Acipenser","dabryanus",6866,"Duméril, 1869","Yangtze sturgeon","Acdab_u1.jpg",NA,NA,NA,32,"Acipenserinae",2154,NA,"elongated","O",NA,NA,0,-1,0,0,"demersal","anadromous",51243,NA,NA,NA,8,10,93286,NA,NA,NA,NA,86.02,250,"TL",NA,NA,38401,31.8,"SL",NA,NA,35840,NA,NA,NA,"ACDAB_U0",NA,NA,NA,4537,"commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"electrosensing only",10311,NA,-1,NA,NA,0.5,0,1,"1994-01-28T00:00:00.000Z",3,"2013-04-16T00:00:00.000Z",1,"1994-04-28T00:00:00.000Z",NA,8737
"56","Acipenser sinensis","Acipenser","sinensis",6866,"Gray, 1835","Chinese sturgeon","Acsin_u3.jpg",NA,NA,NA,32,"Acipenserinae",2154,NA,"elongated","O",NA,NA,0,-1,-1,-1,"demersal","anadromous",51243,NA,NA,NA,NA,NA,NA,13,12218,NA,NA,78.5,130,"TL",NA,NA,38401,39,"TL",NA,NA,35840,6e+05,NA,47439,"ACSIN_U0",NA,NA,NA,4537,"commercial","unknown",NA,NA,"",NA,"","",0,0,0,0,0,0,0,0,0,0,"never/rarely","",NA,"never/rarely",NA,"never/rarely","",NA,0,NA,"harmless",NA,"electrosensing only",10311,NA,-1,"Fry can be found in slow moving waters, adults in deep waters (Ref. 12218).  Used in Chinese medicine (Ref. 12166).",NA,0.5,0,1,"1994-02-03T00:00:00.000Z",1560,"2007-11-21T08:34:22.000Z",1,"1994-04-28T00:00:00.000Z",NA,8762
"57","Pseudoscaphirhynchus fedtschenkoi","Pseudoscaphirhynchus","fedtschenkoi",4537,"(Kessler, 1872)","Syr Darya sturgeon",NA,NA,NA,NA,32,"Acipenserinae",9823,NA,"elongated","O",NA,"Species of the genus <i>Pseudoscaphirhynchus</i> belong to the subfamily Acipenserinae, and not Scaphirhynchinae as it was previously considered (V. Birstein, pers. comm. 03/05 ).",0,-1,-1,0,"demersal","potamodromous",51243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.64,65,"TL",NA,NA,52333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"electrosensing only",10311,NA,-1,NA,NA,0.625,0,1,"1994-02-03T00:00:00.000Z",14,"2006-03-06T00:00:00.000Z",1,"1994-04-28T00:00:00.000Z",NA,8763
"58","Pseudoscaphirhynchus hermanni","Pseudoscaphirhynchus","hermanni",4537,"(Kessler, 1877)","Dwarf sturgeon","Psher_f0.jpg",NA,NA,NA,32,"Acipenserinae",9823,NA,"elongated","O",NA,"Species of the genus <i>Pseudoscaphirhynchus</i> belong to the subfamily Acipenserinae, and not Scaphirhynchinae as it was previously considered (V. Birstein, pers. comm. 03/05 ).",0,-1,-1,0,"demersal","potamodromous",51243,NA,NA,NA,NA,NA,NA,6,35930,NA,NA,29.53,27.5,"TL",NA,NA,35930,NA,NA,NA,NA,NA,50.5,NA,35930,NA,NA,NA,NA,4537,"of no interest","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"electrosensing only",10311,NA,-1,"A rare and endangered species; smallest sturgeon; sensitive to chemicals in  the water  Ref. 35930).",NA,0.625,0,1,"1994-02-03T00:00:00.000Z",14,"2006-03-06T00:00:00.000Z",1,"1994-04-28T00:00:00.000Z",NA,8764
"59","Pristis pristis","Pristis","pristis",4429,"(Linnaeus, 1758)","Common sawfish","Prpri_u1.gif",NA,NA,NA,16,NA,6924,NA,"elongated","R",NA,NA,0,-1,-1,-1,"demersal","oceanodromous",51243,NA,NA,NA,NA,NA,NA,30,57533,NA,NA,75.12,750,"TL",NA,NA,57708,250,"TL",NA,NA,4429,NA,NA,NA,"PRPRI_U0",NA,NA,NA,3164,"minor commercial","medium","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,-1,0,0,0,-1,0,0,-1,-1,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"A euryhaline species (Ref. 57533).  Inhabits inshore coastal waters to moderate depth, also around off lying islands.  Found also in estuaries, lagoons, river mouths, and even freshwater.  Feeds on fishes and bottom-living animals.  Ovoviviparous.  Apparently can reproduce in freshwater (Ref. 57533).  Freshwater populations occur to about 750 km up Amazon River; populations in Lake Nicaragua may be non-migratory (Ref. 7251).",NA,0.5312,0,3,"1994-03-04T00:00:00.000Z",10,"2011-11-02T00:00:00.000Z",1,"1995-06-01T00:00:00.000Z",NA,8940
"60","Acipenser mikadoi","Acipenser","mikadoi",6866,"Hilgendorf, 1892","Sakhalin sturgeon",NA,NA,NA,NA,32,"Acipenserinae",2154,NA,"elongated","O",NA,NA,0,-1,-1,-1,"demersal","anadromous",51243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.9,150,"TL",NA,NA,12218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,"minor commercial","unknown",NA,"Bering Sea.",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"commercial",NA,6866,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"electrosensing only",10311,NA,-1,"Commercially cultured in Japan (Ref. 6866).  From April to May adults feed in fresh water and  return to the ocean during the fall (Ref. 12218).",NA,0.5,0,1,"1991-05-01T00:00:00.000Z",97,"2003-01-03T00:00:00.000Z",97,"2003-01-03T00:00:00.000Z",NA,9762
"61","Acipenser persicus","Acipenser","persicus",59043,"Borodin, 1897","Persian sturgeon","Acper_u1.jpg",NA,NA,NA,32,"Acipenserinae",2154,NA,"elongated","O",NA,"Similar to <i>A. gueldenstaedti</i>.",1,-1,-1,-1,"demersal","anadromous",58888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.36,242,"TL",176.1,NA,47532,NA,NA,NA,NA,NA,70000,NA,58888,NA,NA,NA,NA,NA,"commercial","unknown",NA,NA,"","mainly Iran","","",0,0,0,0,0,0,0,0,0,0,"never/rarely","",NA,"never/rarely",NA,"never/rarely","",NA,0,NA,"harmless",NA,"electrosensing only",10311,NA,-1,"Anadromous.  Inhabits coastal and estuarine zones at the sea.  Breeds in strong-current habitats in main course of large and deep rivers on stone or gavel bottom.  Juvenile stay in riverine habitats during their first summer (Ref. 59043).  Adults migrating to breed take the path of short, fast flowing mountain rivers (Ref. 33773). Maximum reported length for female is 176.1 cm TL(Ref. 58888).",NA,0.5,0,1,"1994-04-28T00:00:00.000Z",3,"2011-03-21T16:19:17.000Z",NA,NA,NA,9763
"62","Hippocampus angustus","Hippocampus","angustus",30915,"Günther, 1870","Narrow-bellied seahorse","Hiang_f0.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"reef-associated","non-migratory",NA,3,63,30915,NA,NA,NA,NA,NA,NA,NA,16.69,22,"TL",NA,NA,3132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12238,"minor commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"public aquariums","based mainly on capture",9183,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Found in sheltered bays.  Color varies from either white, orange or yellow with light patches and sometimes network of fine dark lines; also with narrow lines across snout.  Ovoviviparous (Ref. 205), monogamous (Ref. 36642).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,3,"1995-05-15T00:00:00.000Z",303,"2009-04-29T00:00:00.000Z",1,"1999-08-17T00:00:00.000Z",NA,13100
"63","Pristis clavata","Pristis","clavata",9859,"Garman, 1906","Dwarf sawfish","Prcla_u0.gif",NA,NA,NA,16,NA,6924,NA,"elongated","o",NA,NA,0,0,-1,-1,"demersal",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.86,140,"TL",NA,NA,9859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inshore and intertidal species found in estuaries and on tidal mudflats (Ref. 9859).  Ascends brackish areas of rivers (Ref. 9859).  Ovoviviparous (Ref. 50449). Biology little known (Ref. 9859).  Flesh may be good to eat (Ref. 6871).",NA,0.5312,0,113,"1995-10-12T00:00:00.000Z",2,"2004-02-04T00:00:00.000Z",NA,NA,NA,15378
"64","Hippocampus trimaculatus","Hippocampus","trimaculatus",30915,"Leach, 1814","Longnose seahorse","Hitri_u1.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"reef-associated","non-migratory",NA,0,100,52034,NA,20,30915,NA,NA,NA,NA,17.62,22,"TL",NA,NA,48635,NA,NA,NA,NA,NA,NA,NA,NA,"HITRI_U0",NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"commercial",NA,31845,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits gravel or sand bottoms around shallow reefs (Ref. 559); muddy estuaries and near mangroves, tolerating brackish waters (Ref. 48635).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,14,"1996-05-09T00:00:00.000Z",2,"2008-07-16T00:00:00.000Z",1,"1999-09-10T00:00:00.000Z",NA,22816
"65","Hippocampus whitei","Hippocampus","whitei",30915,"Bleeker, 1855","White's seahorse","Hiwhi_f0.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"demersal","non-migratory",NA,1,46,4281,1,25,30915,5.3,93066,NA,NA,10.95,13,"OT",NA,NA,30915,8,"TL",NA,NA,4281,NA,NA,NA,NA,"HIWHI_F0",NA,NA,12238,"minor commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"In shallow, weedy inshore areas and <i>Zostera</i> seagrass beds; also on sponges.  Also under jetties on holdfasts of kelp, and on other man-made structures such as shark nets.  Diurnal and site faithful (Ref. 30915).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,14,"1996-05-09T00:00:00.000Z",2,"2013-05-09T00:00:00.000Z",1,"1999-09-10T00:00:00.000Z",NA,22818
"66","Hippocampus sindonis","Hippocampus","sindonis",30915,"Jordan & Snyder, 1901","Shiho's seahorse","Hisin_f0.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"demersal","non-migratory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.53,8,"OT",NA,NA,30915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Length type refers to height (= TL - head length).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,113,"1996-05-17T00:00:00.000Z",14,"2015-05-21T00:00:00.000Z",1,"1999-09-10T00:00:00.000Z",NA,23138
"67","Hippocampus coronatus","Hippocampus","coronatus",30915,"Temminck & Schlegel, 1850",NA,"Hicor_u6.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"demersal","non-migratory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.53,10.8,"SL",NA,NA,36318,6,"TL",NA,NA,559,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits <i>Sargassum</i> belts near shore.  Used in Chinese medicine (Ref. 12166).  Length type OT refers to height (= TL - head length).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,113,"1996-05-17T00:00:00.000Z",2,"2004-11-23T00:00:00.000Z",1,"1999-08-20T00:00:00.000Z",NA,23141
"68","Hippocampus breviceps","Hippocampus","breviceps",30915,"Peters, 1869","Short-head seahorse","Hibre_u0.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"demersal","non-migratory",NA,NA,15,52034,NA,NA,NA,NA,NA,NA,NA,12.01,15,"TL",NA,NA,9002,12,"TL",NA,NA,9002,NA,NA,NA,NA,NA,NA,NA,NA,"of no interest","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Adults inhabit inshore waters (Ref. 7300).  Occur in small to large aggregations in weed patches attached to rocks on sand, mostly in Sargassum weeds (Ref. 9002).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,10,"1997-01-16T00:00:00.000Z",2,"2011-07-08T00:00:00.000Z",1,"1999-08-17T00:00:00.000Z",NA,25926
"69","Hippocampus fuscus","Hippocampus","fuscus",30915,"Rüppell, 1838","Sea pony","Hifus_f0.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"demersal","amphidromous",51243,0,10,52034,NA,NA,NA,NA,NA,NA,NA,10.53,14.4,"OT",NA,NA,47822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30915,"minor commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Length type refers to height (= TL - head length).  Occurs in eelgrass beds (<i>Zostera</i> sp.) in lagoons.  Used in India for traditional medicines.  Diurnal.  Adults pair-bond and greet on daily basis in the laboratory (Ref. 30915).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,10,"1997-01-20T00:00:00.000Z",2,"2005-02-16T00:00:00.000Z",1,"1999-08-20T00:00:00.000Z",NA,25955
"70","Hippocampus spinosissimus","Hippocampus","spinosissimus",30915,"Weber, 1913","Hedgehog seahorse","Hispi_u3.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,"The synonym <i>Hippocampus arnei</i> (= <i>H. aimei</i>) is considered valid in Catalog of Fishes, May 2010.",1,0,-1,-1,"reef-associated","non-migratory",NA,NA,70,52034,NA,NA,NA,NA,NA,NA,NA,16.38,17.2,"OT",NA,NA,53181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Found in the continental shelf, on muddy or sandy bottoms and in coral reefs.  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).  Length type refers to height (= TL - head length).  Less desirable for traditional Chinese medicine, but use may increase with the rise in patent medicines.",NA,0.5,0,10,"1997-01-20T00:00:00.000Z",14,"2010-06-11T00:00:00.000Z",1,"1999-09-10T00:00:00.000Z",NA,25974
"71","Hippocampus abdominalis","Hippocampus","abdominalis",30915,"Lesson, 1827","Big-belly seahorse","Hiabd_f0.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,-1,-1,"demersal","non-migratory",NA,0,104,52034,NA,NA,NA,NA,NA,NA,NA,18.96,35,"OT",NA,NA,6787,18,"OT",NA,NA,9003,NA,NA,NA,NA,NA,NA,NA,NA,"of no interest","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on breeding",31838,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Found in large rock pools at low tide.  They remain motionless amidst seaweed.  Juveniles are pelagic (Ref. 30915) or attached to drifting seaweeds (Ref. 31838).  Feed on minute crustaceans (e.g. copepods and amphipods).  Nocturnal (Ref. 9003).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).  Seen in groups at night.  Also around jetties and other man-made objects; attached to sponges and colonial hydroids in deeper water (Ref. 30915).  Length measurements refer to height (= TL - head length).
This is the largest seahorse species in southeastern Australia, and has more dorsal fin rays and tail rings than any other seahorse (Ref. 31838).  Sold locally and internationally for the aquarium trade (Ref. 31838).  Dried and sold to the Oriental medicine trade as a tonic and aphrodisiac (Ref. 5316, 34026).",NA,0.5,0,113,"1998-02-15T00:00:00.000Z",2,"2005-02-15T00:00:00.000Z",1,"1999-08-17T00:00:00.000Z",NA,46324
